risk,group,impact,likelihood,category,long_label,description
Asset bubbles,Business,3.450150967,5.166162968,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Expert,3.49425292,5.164751053,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Female,3.392344475,4.990566254,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Male,3.472081184,5.137404442,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Non-Business,3.429718971,4.964143276,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Non-Expert,3.404069662,5.020231247,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Overall,3.429618835,5.070073128,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Senior,3.408247471,5.0636549,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Young,3.593220234,5.177966118,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Biodiversity loss and ecosystem collapse,Business,3.429429531,4.662686348,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Expert,4.285714149,5.75,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Female,3.7590909,5.130630493,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Male,3.437659025,4.74747467,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Non-Business,3.6968503,5.1361866,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Non-Expert,3.481216431,4.799645424,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Overall,3.526315689,4.82909584,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Senior,3.4323771,4.731707096,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Young,4.024000168,5.484127045,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Critical information infrastructure breakdown,Business,3.377245426,4.267062187,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Expert,3.513043404,4.439655304,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Female,3.400900841,4.426009178,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Male,3.400503874,4.306733131,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Non-Business,3.397683382,4.4099617,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Non-Expert,3.373517752,4.327450752,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Overall,3.384397268,4.319268703,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Senior,3.412825584,4.376493931,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Young,3.3499999049999998,4.237704754,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Failure of critical infrastructure,Business,3.264264345,4.336283207,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Expert,3.256705046,4.299242496,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Female,3.409302235,4.592760086,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Male,3.285000086,4.401985168,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Non-Business,3.40234375,4.586872578,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Non-Expert,3.384831429,4.593922615,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Overall,3.319602251,4.459383965,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Senior,3.325153351,4.471774101,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Young,3.341269732,4.4609375,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Cyberattacks,Business,3.466666698,5.642651081,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Expert,3.470588207,5.697478771,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Female,3.613043547,5.462882042,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Male,3.504901886,5.592233181,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Non-Business,3.605263233,5.434456825,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Non-Expert,3.560460567,5.509541988,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Overall,3.539835215,5.513661385,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Senior,3.529411793,5.571150303,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Young,3.6015625,5.4453125,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Data fraud or theft,Business,3.204678297,5.690962315,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Expert,3.222222328,5.854701042,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Female,3.393805265,5.41228056,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Male,3.210784197,5.673965931,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Non-Business,3.335849047,5.468401432,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Non-Expert,3.28709054,5.517175674,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Overall,3.267683744,5.555096626,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Senior,3.245059252,5.592156887,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Young,3.3984375,5.534883499,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Deflation,Business,3.217791319,4.620481968,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Expert,3.163424015,4.507692337,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
